Accession,Geo_Location,Collection_Date
YP_009724390,China,2019-12
QPD96851,USA: New York,2020-03-25
QPD96890,USA: Ak,2020-06-29
QNQ32115,"USA: Washington, King county",2020-04-20
QNQ32127,"USA: Washington, King county",2020-05-11
QNQ32139,"USA: Washington, King county",2020-04-20
QNQ32151,"USA: Washington, King county",2020-05-11
QNQ32163,"USA: Washington, King county",2020-05-26
QNQ32175,"USA: Washington, King county",2020-06-15
QPC41144,United Kingdom: London,2020-03-29
QPC96740,"USA: Florida, Alachua county",2020-10-02
QPC96752,"USA: Florida, Alachua county",2020-04-01
QPB69201,Tunisia,2020-10-31
QPB69254,Egypt,2020-09-29
QPB74043,Tunisia,2020-11-02
QPB40019,"India: Gujarat, Kodinar",2020-07-14
QPB40031,"India: Gujarat, Kodinar",2020-07-14
QPB40043,"India: Gujarat, Mangrol",2020-07-15
QPB40055,"India: Gujarat, Junagadh",2020-07-15
QPB40067,"India: Gujarat, Mangrol",2020-07-15
QPB40079,"India: Gujarat, Mangrol",2020-07-15
QPB40091,"India: Gujarat, Mangrol",2020-07-15
QPB40103,"India: Gujarat, Ahmedabad",2020-09-03
QPB40115,"India: Gujarat, Ahmedabad",2020-09-01
QPB40565,"India: Gujarat, Mehsana",2020-07-06
QPB40577,"India: Gujarat, Mehsana",2020-07-06
QPB40947,Philippines,2020-07
QPB41110,USA: MD,2020-08-16
QPB41122,USA: MD,2020-10-22
QPB41134,USA: MD,2020-10-17
QPB41146,USA: MD,2020-10-17
QPB41158,USA: MD,2020-10-17
QPB41170,USA: MD,2020-10-17
QPB41182,USA: MD,2020-10-17
QPB41194,USA: MD,2020-10-17
QPB41206,USA: MD,2020-10-17
QPB41218,USA: MD,2020-10-17
QPB41230,USA: MD,2020-10-17
QPB41242,USA: MD,2020-10-17
QPB41254,USA: MD,2020-10-17
QPB41266,USA: MD,2020-10-17
QPB41278,USA: MD,2020-10-19
QPB41290,USA: MD,2020-10-19
QPB41302,USA: MD,2020-10-19
QPB41314,USA: MD,2020-10-19
